audit_timestamp,agent_name,payment_id,exception_type,reasoning_status,financial_risk,confidence,auto_resolvable,ai_response_valid,guardrail_violations,agent_decision,resolution_status,action_taken,human_review_required
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0071,AMOUNT_MISMATCH,AMOUNT_MISMATCH_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0072,AMOUNT_MISMATCH,AMOUNT_MISMATCH_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0073,AMOUNT_MISMATCH,AMOUNT_MISMATCH_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0074,AMOUNT_MISMATCH,AMOUNT_MISMATCH_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0075,AMOUNT_MISMATCH,AMOUNT_MISMATCH_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0076,MISSING_SETTLEMENT,SETTLEMENT_MISSING,HIGH,0.9,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0077,MISSING_SETTLEMENT,SETTLEMENT_MISSING,HIGH,0.9,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0078,MISSING_SETTLEMENT,SETTLEMENT_MISSING,HIGH,0.9,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0079,MISSING_SETTLEMENT,SETTLEMENT_MISSING,HIGH,0.9,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0080,MISSING_SETTLEMENT,SETTLEMENT_MISSING,HIGH,0.9,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0081,MISSING_ORDER,ORDER_MISSING,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0082,MISSING_ORDER,ORDER_MISSING,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0083,MISSING_ORDER,ORDER_MISSING,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0084,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0085,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0086,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0092,REFERENCE_MISMATCH,REFERENCE_RECOVERY_VALIDATED,LOW,0.92,True,True,,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,False
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0093,REFERENCE_MISMATCH,REFERENCE_RECOVERY_VALIDATED,LOW,0.92,True,True,,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,False
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0094,REFERENCE_MISMATCH,REFERENCE_RECOVERY_VALIDATED,LOW,0.92,True,True,,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,False
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,PAY0095,REFERENCE_MISMATCH,REFERENCE_RECOVERY_VALIDATED,LOW,0.92,True,True,,AUTO_RESOLVE,RESOLVED,LINK_RECOVERED_SETTLEMENT,False
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,DUP_PAY0083,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,DUP_PAY0084,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
2026-08-28 22:34:21,MORTAL-FI AI Resolution Agent,DUP_PAY0085,DUPLICATE_PAYMENT,DUPLICATE_PAYMENT_CONFIRMED,HIGH,0.95,False,True,,ESCALATE,MANUAL_REVIEW_REQUIRED,ESCALATE_TO_FINANCIAL_REVIEW,True
